ak,al,ar,az,ca,co,ct,dc,de,fl,ga,hi,ia,id,il,in,ks,ky,la,ma,md,me,mi,mn,mo,ms,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,pr,ri,sc,sd,tn,tx,ut,va,vt,wa,wi,wv,wy
50.0,496.0,167.0,466.0,1678.0,676.0,553.0,133.0,160.0,3759.0,2774.0,37.0,248.0,106.0,1739.0,708.0,171.0,886.0,461.0,662.0,1056.0,92.0,3341.0,623.0,433.0,169.0,74.0,1165.0,92.0,152.0,102.0,1608.0,127.0,394.0,2833.0,1276.0,260.0,279.0,2478.0,1515.0,82.0,417.0,81.0,1040.0,3803.0,171.0,770.0,43.0,491.0,592.0,235.0,39.0
48.0,446.0,204.0,502.0,1696.0,781.0,513.0,96.0,148.0,3547.0,2749.0,40.0,205.0,109.0,1588.0,721.0,207.0,883.0,699.0,531.0,823.0,95.0,2560.0,637.0,500.0,193.0,98.0,1107.0,112.0,159.0,66.0,1216.0,156.0,464.0,2196.0,1209.0,246.0,354.0,1878.0,655.0,77.0,361.0,64.0,920.0,3569.0,154.0,580.0,32.0,540.0,581.0,221.0,38.0
33.0,480.0,197.0,463.0,1526.0,839.0,409.0,86.0,89.0,3081.0,2576.0,46.0,227.0,91.0,1580.0,689.0,180.0,893.0,523.0,447.0,713.0,101.0,2047.0,487.0,438.0,185.0,111.0,930.0,76.0,132.0,82.0,995.0,247.0,380.0,1804.0,1102.0,186.0,286.0,1713.0,198.0,48.0,294.0,60.0,826.0,3237.0,171.0,579.0,23.0,478.0,592.0,241.0,42.0
31.0,545.0,180.0,429.0,1333.0,677.0,317.0,74.0,84.0,2907.0,2171.0,41.0,184.0,89.0,1100.0,575.0,135.0,872.0,521.0,355.0,561.0,101.0,1526.0,426.0,378.0,169.0,90.0,863.0,86.0,117.0,46.0,699.0,157.0,359.0,1447.0,857.0,186.0,275.0,1330.0,99.0,42.0,262.0,38.0,730.0,2954.0,177.0,444.0,24.0,466.0,578.0,212.0,42.0
16.0,404.0,212.0,391.0,1323.0,646.0,251.0,51.0,67.0,2370.0,2134.0,32.0,153.0,99.0,1020.0,580.0,156.0,778.0,456.0,284.0,488.0,104.0,1182.0,369.0,311.0,183.0,114.0,803.0,93.0,87.0,59.0,544.0,162.0,328.0,1217.0,893.0,187.0,249.0,1089.0,70.0,32.0,208.0,27.0,563.0,2560.0,176.0,370.0,15.0,472.0,511.0,207.0,51.0
16.0,380.0,206.0,443.0,1120.0,526.0,119.0,52.0,60.0,2294.0,1980.0,159.0,137.0,93.0,865.0,511.0,151.0,761.0,597.0,282.0,324.0,85.0,872.0,293.0,371.0,177.0,136.0,567.0,81.0,68.0,44.0,429.0,140.0,278.0,992.0,790.0,199.0,216.0,975.0,38.0,28.0,186.0,25.0,541.0,2402.0,187.0,344.0,16.0,435.0,383.0,172.0,63.0
25.0,300.0,175.0,373.0,1104.0,469.0,115.0,53.0,38.0,1873.0,1609.0,207.0,88.0,78.0,611.0,373.0,107.0,719.0,468.0,169.0,299.0,51.0,541.0,188.0,394.0,219.0,122.0,459.0,38.0,57.0,19.0,329.0,101.0,242.0,717.0,634.0,163.0,181.0,654.0,27.0,16.0,146.0,24.0,464.0,2125.0,163.0,260.0,6.0,387.0,266.0,134.0,78.0
17.0,251.0,201.0,354.0,1004.0,374.0,81.0,37.0,24.0,1745.0,1577.0,17.0,99.0,72.0,462.0,312.0,106.0,766.0,445.0,116.0,212.0,43.0,411.0,160.0,482.0,242.0,83.0,383.0,34.0,53.0,18.0,276.0,93.0,244.0,607.0,418.0,148.0,154.0,520.0,15.0,15.0,104.0,28.0,381.0,2140.0,184.0,197.0,4.0,322.0,212.0,113.0,59.0
9.0,211.0,266.0,415.0,936.0,313.0,59.0,34.0,17.0,1728.0,1321.0,29.0,99.0,70.0,373.0,246.0,135.0,745.0,383.0,103.0,181.0,37.0,265.0,108.0,554.0,223.0,90.0,359.0,21.0,67.0,17.0,222.0,99.0,323.0,465.0,365.0,147.0,197.0,361.0,13.0,14.0,104.0,15.0,310.0,1746.0,214.0,181.0,4.0,259.0,143.0,90.0,52.0
13.0,221.0,337.0,436.0,1026.0,294.0,66.0,29.0,13.0,1757.0,1165.0,30.0,81.0,82.0,295.0,195.0,114.0,584.0,431.0,99.0,124.0,31.0,201.0,97.0,595.0,230.0,81.0,303.0,19.0,38.0,9.0,234.0,79.0,492.0,415.0,310.0,210.0,138.0,301.0,10.0,4.0,85.0,21.0,313.0,1362.0,209.0,181.0,7.0,293.0,116.0,67.0,37.0
18.0,514.0,401.0,474.0,1189.0,329.0,46.0,34.0,9.0,2088.0,1183.0,27.0,87.0,56.0,333.0,227.0,112.0,556.0,458.0,83.0,108.0,33.0,203.0,91.0,721.0,209.0,71.0,332.0,16.0,57.0,10.0,210.0,84.0,665.0,384.0,230.0,258.0,108.0,273.0,12.0,10.0,90.0,31.0,308.0,1553.0,267.0,169.0,10.0,236.0,106.0,50.0,60.0
36.0,349.0,587.0,412.0,1410.0,371.0,46.0,13.0,20.0,3059.0,1643.0,52.0,137.0,62.0,348.0,280.0,165.0,554.0,789.0,107.0,133.0,29.0,201.0,105.0,875.0,263.0,79.0,328.0,16.0,51.0,19.0,245.0,105.0,821.0,382.0,259.0,337.0,80.0,247.0,14.0,12.0,150.0,28.0,404.0,2007.0,250.0,179.0,5.0,260.0,101.0,62.0,52.0
46.0,558.0,704.0,623.0,1927.0,323.0,67.0,25.0,18.0,4571.0,2070.0,33.0,196.0,89.0,467.0,327.0,290.0,703.0,1042.0,106.0,122.0,206.0,221.0,116.0,1094.0,360.0,98.0,470.0,19.0,96.0,14.0,268.0,88.0,1042.0,444.0,318.0,483.0,122.0,240.0,25.0,8.0,247.0,41.0,696.0,2963.0,308.0,227.0,2.0,287.0,157.0,59.0,78.0
76.0,1160.0,895.0,687.0,2818.0,389.0,105.0,21.0,26.0,7545.0,2777.0,47.0,308.0,106.0,628.0,440.0,357.0,884.0,1918.0,133.0,167.0,46.0,268.0,161.0,1379.0,510.0,106.0,743.0,28.0,114.0,30.0,355.0,135.0,1096.0,619.0,437.0,652.0,159.0,337.0,46.0,14.0,349.0,29.0,1172.0,4438.0,308.0,313.0,6.0,358.0,260.0,81.0,109.0
91.0,1916.0,1052.0,975.0,3975.0,459.0,151.0,25.0,17.0,10917.0,4512.0,90.0,373.0,167.0,916.0,657.0,464.0,1472.0,2974.0,260.0,276.0,60.0,294.0,241.0,1673.0,755.0,150.0,1041.0,25.0,157.0,27.0,456.0,166.0,1404.0,810.0,654.0,1053.0,284.0,501.0,91.0,19.0,725.0,41.0,1935.0,6608.0,376.0,406.0,6.0,524.0,344.0,145.0,87.0
